OBJECTID,ORGN,DSTN,SHAPE_Length
756,EERSTE RIVER,MITCHELLS PLAIN,36245.4492529815
757,EERSTE RIVER,MITCHELLS PLAIN,19540.6207821814
758,EERSTE RIVER,MITCHELLS PLAIN,25679.7987307088
759,MELTON ROSE,EERSTE RIVER,3397.77035009237
760,SAMORA MACHEL,SEA POINT,33344.5543124075
761,KHAYELITSHA,WYNBERG (VIA CLAREMONT),28180.5301318888
762,KHAYELITSHA,CLAREMONT (VIA WYNBERG),25916.5486079864
763,BELLVILLE,WESBANK,13339.3270098823
764,UNIBELL,BELLVILLE,24967.754494416
765,GUGULETU,BELLVILLE,18389.1246672275
766,LANGA,WYNBERG,15494.4390453038
767,LANGA,MOWBRAY (VIA WYNBERG),23883.2750828671
768,SAMORA MACHEL,SEA POINT,33344.5543124075
769,NYANGA,CLAREMONT (VIA WYNBERG),17761.0718813196
770,KOEBERG STATION,TABLE VIEW,18040.7991175708
771,LANGA,BELLVILLE,15853.9780588745
772,KHAYELITSHA,MAITLAND,32113.5666848955
773,TYGERBERG STATION,RAVENSMEAD,8031.21421602807
774,TYGERBERG STATION,RAVENSMEAD,5026.86182304985
775,KOEBERG STATION,TABLE VIEW,18040.7991175708
776,SIR LOWRYS PASS,SOMERSET WEST,11371.4083185202
777,KHAYELITSHA,MAITLAND,31908.5403004356
778,BLOEKOMBOS,KRAAIFONTEIN (SHOPRITE),5672.07372378411
779,GOODWOOD STATION,TABLE VIEW,19097.7659112751
780,GOODWOOD STATION,MONTAGUE GARDENS,18686.4225229237
781,SEA POINT,NYANGA,32590.5206665949
782,KRAAIFONTEIN,WALLACEDENE,6088.16921610711
783,KRAAIFONTEIN,BRACKENFELL STATION,7108.39806369857
784,KRAAIFONTEIN,BOTFONTEIN - BOTLARY FARMS,6347.80247178078
785,KRAAIFONTEIN,DE NOVA,9918.38941459676
786,KRAAIFONTEIN,BELLVILLE,15801.7469056016
787,KRAAIFONTEIN,DURBANVILLE,9615.36705037796
788,KRAAIFONTEIN,GOLIATH ESTATE,4391.09406471104
789,PENTECH,PAROW,33810.6185518762
790,RATANGA JUNCTION,MAITLAND RAILWAY STATION,10735.3673716151
791,UNIBELL RAILWAY STATION,PAROW RAILWAY STATION,35819.8266408287
792,WESBANK,ELSIES RIVER STATION,18613.9330887413
793,STEENBERG,HILLVIEW,20789.408181214
794,STEENBERG,"CAPRICORN,RETREAT",13632.1607300745
795,STEENBERG,"SEAWINDS,RETREAT",18173.4458449386
796,STEENBERG,"7TH & 11TH AVE,RETREAT",8659.06031940217
797,STEENBERG,"BLUE ROUTE,TOKAI",3103.63050652229
798,STEENBERG,MUIZENBERG,9081.980110718
799,STEENBERG,GRASSY PARK,6662.8221952431
800,MITCHELLS PLAIN(TOWN CENTRE),MUIZENBERG,22433.6389738778
801,RETREAT,LAVENDER HILL,8267.42878607811
802,RETREAT,MONTAGUE VILLAGE,10576.2915913693
803,RETREAT,STEENBERG(HILLVIEW),13111.2599068007
804,RETREAT,VRYGROND - STEENBERG,14943.096232613
805,RETREAT,WESTLAKE - RETREAT,15246.2631578991
806,RETREAT,WESTLAKE M3 - RETREAT,14357.9638265238
807,RETREAT,WESTLAKE - TOKAI,16032.4007065635
808,RETREAT,STEENBERG,7634.32353688635
809,RETREAT,RETREAT,7124.55749015371
810,RETREAT,WYNBERG,8187.95338369016
811,RETREAT,CONSTANTIA - WYNBERG,10924.5015322898
812,RETREAT,CONSTANTIA - WYNBERG,23589.7407873997
813,RETREAT,MUIZENBERG-FISH HOEK,18026.9271430725
814,RETREAT,FISH HOEK,13468.4772602788
815,DELFT SOUTH,ELSIES RIVER,22763.929209071
816,EINDHOVEN,BELLVILLE,13976.5316227099
817,WYNBERG,CONSTANTIA (SWEET VALLEY),15064.6780579017
818,PAROW,DELFT,23237.0566542019
819,"SANLAM CENTRE,PAROW",DELFT,17970.9830466491
820,"SANLAM CENTRE,PAROW",DELFT,21363.8625133216
821,"TOWN CENTRE,MITCHELLS PLAIN",BELLVILLE,26651.8293725402
822,MUTUAL,LANGA (BHUNGA),8623.21924521696
823,SEA POINT,EYONA,29072.1201588279
824,SEA POINT,EYONA,37797.9160096969
825,KHAYELITSHA,GOODWOOD-MAITLAND-KILLARNEY,50581.5034038332
826,MOWBRAY,NYANGA,18644.287024502
827,7TH AVENUE MITCHELLS PLAIN,BELLVILLE RAILWAY STATION,26666.5319370489
828,DU NOON,MONTAGUE GARDENS,9523.49016677771
829,DU NOON,JOE SLOVO PARK,11925.3821790387
830,RATANGA JUNCTION,GOODWOOD,10432.3562542403
831,RATANGA JUNCTION,GOODWOOD,19876.9541999198
832,STRAND,RUSTHOF,4738.36203426273
833,STRAND,RUSTHOF,8615.01485876622
834,STRAND,LOURENSFORD & VERGELEGEN,23726.136788216
835,STRAND,HOTTENTOTS HOLLAND HOSPITAL,19257.7108979336
836,NYANGA,MITCHELLS PLAIN,14442.4073935427
837,NYANGA,SAMORA MACHEL,7338.96656870064
838,NYANGA,PHILIPPI,3125.15679768214
839,NYANGA JUNCTION,PHILIPPI,7826.72058436098
840,NYANGA,HEIDEVELD STATION,4991.439549422
841,NYANGA,NYANGA JUNCTION,3548.33646975836
842,PHILIPPI,NYANGA TERMINUS,2926.19308465212
843,PHILIPPI,MITCHELLS PLAIN,10530.2981637188
844,PHILIPPI,CROSS ROADS,7270.98288895522
845,PHILIPPI,HEIDEVELD,8677.77245050878
